	type	p	R0	SS transmission ratio	SS fraction	infectious period
0	real	0.461260252660816	2.64920520837786	5.822534363555031	0.082393652494383	8.652653587686808
0	CNN (large)		2.657824	6.245863	0.07698032	8.93505383621319
0	real-subtrees	0.461260252660816	2.649205208377861	5.822534363555031	0.082393652494383	8.652653587686808
0	FFNN (large)		2.657824	6.245863	0.07698032	8.93505383621319
0	FFNN (huge, subtrees)		2.7980439403132435	5.461028514519943	0.10385446994631208	8.835776158868159
0	CNN (huge, subtrees)		2.7870286519753447	5.534022922187934	0.11420302326378992	8.826140832723738
1	real-subtrees	0.39608983330828795	4.6019663634280406	6.8278974530492285	0.17823614470480298	2.5062917444152
1	FFNN (large)		3.6664032999999994	5.128317	0.13277888	2.25079593124219
1	real	0.39608983330828795	4.6019663634280406	6.82789745304923	0.178236144704803	2.5062917444152
1	CNN (large)		3.6664032999999994	5.128317	0.13277888	2.25079593124219
1	CNN (huge, subtrees)		4.4274274761402905	6.409785825621007	0.1390241866087579	2.385722239624544
1	FFNN (huge, subtrees)		4.470903308776737	6.310208063818445	0.14050449161856418	2.402788275115141
2	FFNN (large)		4.014543499999999	9.504201	0.15003058	1.62239759349204
2	real	0.877609103627505	4.10961469746316	8.89267147319211	0.17877958433958702	1.7534045983760402
2	CNN (huge, subtrees)		4.126159188856295	8.205788475522883	0.16238260418819964	1.7003619247229362
2	CNN (large)		4.014543499999999	9.504201	0.15003058	1.62239759349204
2	real-subtrees	0.877609103627505	4.10961469746316	8.89267147319211	0.17877958433958702	1.7534045983760402
2	FFNN (huge, subtrees)		4.125080989128186	8.309310400602469	0.15563433889068545	1.704445641275374
3	real-subtrees	0.7122768696249259	1.9947813721479897	9.730822945567287	0.103991949893642	2.9981952191038
3	real	0.7122768696249259	1.99478137214799	9.73082294556729	0.103991949893642	2.9981952191038
3	CNN (huge, subtrees)		1.9295085394087776	9.069372745722868	0.12565901575739155	2.8497553830925733
3	CNN (large)		1.7548118000000001	8.347116	0.101659745	2.9765981924432303
3	FFNN (large)		1.7548118000000001	8.347116	0.101659745	2.9765981924432303
3	FFNN (huge, subtrees)		1.9119257608548683	8.966103554696524	0.12743947954358142	2.8414851656482454
4	FFNN (huge, subtrees)		3.55516780308775	4.799875267930053	0.12407079344290407	7.554244342395071
4	CNN (large)		2.8163647999999997	4.9773073	0.110188484	6.717438135779459
4	CNN (huge, subtrees)		3.533609331972183	4.818258571683335	0.12789611068053094	7.522308366524205
4	FFNN (large)		2.8163647999999997	4.9773073	0.110188484	6.717438135779459
4	real-subtrees	0.77953914128421	3.36079942893399	4.48078348861387	0.173013541942318	7.2660109795361505
4	real	0.77953914128421	3.36079942893399	4.48078348861387	0.173013541942318	7.2660109795361505
5	FFNN (huge, subtrees)		4.306494415641164	6.695222102531963	0.0743642792317356	6.70581623075866
5	real	0.395018424187233	4.14413000439586	6.9330793057453	0.06537957116224401	6.73838735110823
5	CNN (huge, subtrees)		4.240983830875948	6.6158997931447985	0.08262711830165874	6.639499275433439
5	CNN (large)		4.191569	7.818757499999999	0.079999655	7.14952502754088
5	FFNN (large)		4.191569	7.818757499999999	0.079999655	7.14952502754088
5	real-subtrees	0.395018424187233	4.14413000439586	6.9330793057453	0.06537957116224401	6.73838735110823
6	real	0.7134153007803079	3.2712245477381803	6.85197260761062	0.053352628031815	4.20015684375498
6	CNN (huge, subtrees)		3.419521903209666	6.287972347580963	0.08288547319552188	4.360581281177397
6	CNN (large)		3.202271	6.4651175	0.07190579	4.25316034250415
6	FFNN (huge, subtrees)		3.4576527646958835	6.175969933647761	0.08284863291860517	4.394170593241223
6	FFNN (large)		3.202271	6.4651175	0.07190579	4.25316034250415
6	real-subtrees	0.7134153007803079	3.2712245477381803	6.85197260761062	0.053352628031814994	4.2001568437549786
7	CNN (huge, subtrees)		3.801304403647673	7.613924403650754	0.1531280154405638	3.671870584253384
7	real-subtrees	0.289480549493149	3.8163329780858697	9.38669596296293	0.19333856681533	3.76116531604641
7	FFNN (large)		3.6813019999999996	8.251633	0.16906697	3.5473482336675
7	CNN (large)		3.6813019999999996	8.251633	0.16906697	3.5473482336675
7	FFNN (huge, subtrees)		3.784865791164787	7.694504782720799	0.14033099398040827	3.628986268494735
7	real	0.289480549493149	3.81633297808587	9.38669596296293	0.19333856681533	3.76116531604641
8	real	0.7329274954672641	3.88456593619075	6.453557544919809	0.13902806815132002	3.34490124168293
8	real-subtrees	0.7329274954672641	3.8845659361907514	6.4535575449198115	0.13902806815132002	3.3449012416829302
8	FFNN (large)		3.6141337999999994	6.002508	0.158084	3.28478524275096
8	CNN (huge, subtrees)		3.9030201372704982	7.0445406399242625	0.125966200568361	3.3222596534484414
8	FFNN (huge, subtrees)		3.9541118853141612	6.764970514996683	0.1168818642824425	3.3286751815692126
8	CNN (large)		3.6141337999999994	6.002508	0.158084	3.28478524275096
9	CNN (huge, subtrees)		1.547241558303354	8.364194629251376	0.10627718109970063	1.2901503729221078
9	real	0.23945342019921803	1.51209426689296	8.87361015512617	0.10596317840989301	1.28886110313017
9	FFNN (large)		1.5437583000000001	8.731164	0.11347595	1.32390846331162
9	FFNN (huge, subtrees)		1.5353223646572454	8.48159550082299	0.10421776066730544	1.2750195119046484
9	CNN (large)		1.5437583000000001	8.731164	0.11347595	1.32390846331162
9	real-subtrees	0.23945342019921803	1.51209426689296	8.87361015512617	0.10596317840989301	1.28886110313017
10	FFNN (huge, subtrees)		3.9689372386392097	3.9003767928145328	0.08944752186603186	5.492493648957021
10	FFNN (large)		4.384904	5.051307700000001	0.12123847	6.263303172372741
10	real-subtrees	0.31019684538667197	3.8140502989170098	3.9937440906759503	0.079079696125071	5.3405836494804815
10	real	0.31019684538667197	3.8140502989170098	3.9937440906759503	0.079079696125071	5.340583649480481
10	CNN (huge, subtrees)		3.920519489228232	4.207362871576767	0.0882471943265841	5.4583767066709115
10	CNN (large)		4.384904	5.051307700000001	0.12123847	6.263303172372741
11	FFNN (large)		3.0782933	5.234503	0.13555446	5.79805446482551
11	real-subtrees	0.23467890343741196	3.16244482543827	5.60870000073314	0.14079103914262803	5.956218596707671
11	real	0.23467890343741196	3.16244482543827	5.60870000073314	0.14079103914262803	5.95621859670767
11	CNN (huge, subtrees)		3.1098976710631843	6.023140431619567	0.1189012676634012	5.779811186297763
11	FFNN (huge, subtrees)		3.110753664911942	5.826147242060058	0.11775290579543225	5.78098812345448
11	CNN (large)		3.0782933	5.234503	0.13555446	5.79805446482551
12	CNN (huge, subtrees)		2.2148284203293183	5.607166579347066	0.0842445252039363	3.2462310138350987
12	real-subtrees	0.723426919554467	2.1459970706478404	6.19906152788082	0.061143501277811	3.1850288626548
12	real	0.723426919554467	2.1459970706478404	6.19906152788082	0.061143501277811	3.1850288626548
12	FFNN (huge, subtrees)		2.2631833533715606	5.563419322100213	0.07532933840065388	3.2790102920104167
12	FFNN (large)		2.0753044999999997	6.1412873	0.08212173	3.29546943964859
12	CNN (large)		2.0753044999999997	6.1412873	0.08212173	3.29546943964859
13	FFNN (large)		3.002296	8.102988999999999	0.17017934	3.63846741742243
13	real-subtrees	0.836990229982422	3.5727933448740004	9.53789219225014	0.186114015513743	4.4586869621996
13	real	0.836990229982422	3.572793344874	9.53789219225014	0.18611401551374301	4.4586869621996
13	CNN (huge, subtrees)		3.493039534448713	8.658676923434568	0.15098928625938315	4.352809849636183
13	FFNN (huge, subtrees)		3.5128524702110284	8.605981164490933	0.14181869328709598	4.3956551904915155
13	CNN (large)		3.002296	8.102988999999999	0.17017934	3.63846741742243
14	CNN (large)		4.5085296999999995	6.903115299999999	0.10105406	1.64290156266246
14	real-subtrees	0.39395107704374	4.69091099583	8.853666643866823	0.118599950921005	1.74493538980816
