	type	p	R0	infectious period
0	real-subtrees	0.7138461841898159	1.54435149851198	5.98562153347266
0	FFNN		1.4904006	6.24488269036023
0	FFNN (on small)		1.4932638	5.907304819650591
0	CNN (subtrees)		1.5208875375029485	6.216662252881398
0	real	0.7138461841898159	1.54435149851198	5.98562153347266
0	FFNN (subtrees)		1.4806995161276295	6.2218794763824095
0	CNN		1.6308534	6.6567192182645
1	FFNN		2.9673166	4.7620214518922195
1	CNN		2.9296842	4.746693965169309
1	real-subtrees	0.226971442014562	3.06695464510737	4.9977009239441
1	FFNN (subtrees)		3.112947079364884	5.002985221435703
1	CNN (subtrees)		3.0158887655680413	4.875658345889803
1	FFNN (on small)		2.8473709	4.57679703668612
1	real	0.226971442014562	3.06695464510737	4.9977009239441
2	CNN		2.4889522	1.0637431522869
2	CNN (subtrees)		2.7909997557724795	1.1227198801170992
2	FFNN		2.687273	1.09465870321955
2	real	0.946400661134871	3.10323762055771	1.17698369812521
2	FFNN (subtrees)		2.7827469868106016	1.117486613758061
2	real-subtrees	0.946400661134871	3.10323762055771	1.17698369812521
2	FFNN (on small)		2.584948	1.046099463405
3	FFNN		1.5541762	2.90975013305331
3	real-subtrees	0.7027744560119599	1.79764495961122	3.02744743372153
3	FFNN (subtrees)		1.580381993644981	2.8947465445405687
3	CNN		1.5992296	2.92692346394179
3	real	0.7027744560119599	1.79764495961122	3.02744743372153
3	FFNN (on small)		1.5240098	2.75974754773575
3	CNN (subtrees)		1.5766095144133416	2.8831196158163013
4	FFNN (on small)		3.9535120000000004	1.29612855469038
4	CNN		4.1527605	1.36411092925313
4	real	0.8551867983111658	4.62653459521771	1.43961511838038
4	CNN (subtrees)		3.8776403650376015	1.3120774676781577
4	real-subtrees	0.8551867983111658	4.62653459521771	1.43961511838038
4	FFNN (subtrees)		3.9554995604750474	1.3016112718266688
4	FFNN		4.2559404	1.3708321414276001
5	real	0.500478173783044	1.04783876754113	3.64593883004359
5	FFNN (subtrees)		1.0807079992034945	3.608938759839684
5	CNN		1.0435828	3.6110329340373903
5	CNN (subtrees)		1.0776986401200792	3.5417637031946225
5	real-subtrees	0.500478173783044	1.04783876754113	3.64593883004359
5	FFNN (on small)		1.0764067	3.46218512046888
5	FFNN		1.0627261000000001	3.55493832150446
6	FFNN (on small)		3.6510422	6.53663990949808
6	FFNN (subtrees)		3.8901486125503637	7.236160463003412
6	real	0.11200220519295	4.26372140933212	7.92791014966463
6	real-subtrees	0.11200220519295	4.26372140933212	7.92791014966463
6	CNN (subtrees)		3.9151024964497436	7.437817984649858
6	FFNN		3.9863315000000004	7.445734511402231
6	CNN		4.272719	7.97490169321429
7	FFNN		2.9109453999999997	9.021621131143089
7	FFNN (subtrees)		3.0634038027964143	9.209863328933713
7	real-subtrees	0.894192736598828	2.4553488060590203	7.84267265729429
