	type	p	R_naught	infectious_period
0	real-subtrees	0.7138461841898159	1.54435149851198	5.98562153347266
0	CNN		1.6308534	6.6567192182645
0	FFNN		1.6308534	6.6567192182645
0	CNN-subtrees		1.5055922269821167	6.169252395629883
0	real	0.7138461841898159	1.54435149851198	5.98562153347266
0	FFNN-subtrees		1.4656541347503662	6.164513111114503
0	BEAST2		1.5408166630000002	6.323185186
1	CNN		2.9296842	4.746693965169309
1	BEAST2		2.9767301280000003	4.7660152469999995
1	real-subtrees	0.226971442014562	3.06695464510737	4.9977009239441
1	FFNN-subtrees		3.000068664550781	4.84264087677002
1	CNN-subtrees		2.901963949203491	4.717580795288086
1	FFNN		2.9296842	4.746693965169309
1	real	0.226971442014562	3.06695464510737	4.9977009239441
2	BEAST2		2.7757626839999996	1.120154867
2	CNN-subtrees		2.774059534072876	1.1348388195037842
2	CNN		2.4889522	1.0637431522869
2	real	0.946400661134871	3.10323762055771	1.17698369812521
2	FFNN-subtrees		2.7408783435821533	1.1216291189193726
2	real-subtrees	0.946400661134871	3.10323762055771	1.17698369812521
2	FFNN		2.4889522	1.0637431522869
3	CNN		1.5992296	2.92692346394179
3	real-subtrees	0.7027744560119599	1.79764495961122	3.02744743372153
3	FFNN-subtrees		1.5114091634750366	2.8052217960357666
3	BEAST2		1.587350297	2.910538217
3	real	0.7027744560119599	1.79764495961122	3.02744743372153
3	FFNN		1.5992296	2.92692346394179
3	CNN-subtrees		1.5064235925674438	2.789086103439331
4	FFNN		4.1527605	1.36411092925313
4	BEAST2		4.2813096989999995	1.372639989
4	real	0.8551867983111658	4.62653459521771	1.43961511838038
4	CNN-subtrees		3.6996819972991934	1.274749517440796
4	real-subtrees	0.8551867983111658	4.62653459521771	1.43961511838038
4	FFNN-subtrees		3.8123199939727774	1.2718818187713623
4	CNN		4.1527605	1.36411092925313
5	real	0.500478173783044	1.04783876754113	3.64593883004359
5	FFNN-subtrees		1.0878572463989258	3.5737435817718506
5	BEAST2		1.075519104	3.5899762930000003
5	CNN-subtrees		1.1165276765823364	3.596686124801636
5	real-subtrees	0.500478173783044	1.04783876754113	3.64593883004359
5	FFNN		1.0435828	3.6110329340373903
5	CNN		1.0435828	3.6110329340373903
6	FFNN		4.272719	7.97490169321429
6	FFNN-subtrees		4.047680854797363	7.5004825592041025
6	real	0.11200220519295	4.26372140933212	7.92791014966463
6	real-subtrees	0.11200220519295	4.26372140933212	7.92791014966463
6	CNN-subtrees		4.03825044631958	7.639500141143799
6	CNN		4.272719	7.97490169321429
6	BEAST2		3.9984750669999998	7.515749605
7	CNN		2.9252307	9.00398401266076
7	FFNN-subtrees		3.099914073944092	9.393585205078123
7	real-subtrees	0.894192736598828	2.4553488060590203	7.84267265729429
7	CNN-subtrees		3.0302443504333496	9.118049621582033
7	BEAST2		2.926220577	8.954731996
7	FFNN		2.9252307	9.00398401266076
7	real	0.894192736598828	2.4553488060590203	7.84267265729429
8	BEAST2		3.842864268	6.15871359
8	CNN		3.9283307	6.22577348424846
8	FFNN-subtrees		4.051407814025879	6.452147006988525
8	real-subtrees	0.7425419161350458	3.2853732678734	5.368720855727121
8	real	0.7425419161350458	3.2853732678734	5.368720855727121
8	CNN-subtrees		4.0770483016967765	6.559825897216798
8	FFNN		3.9283307	6.22577348424846
9	BEAST2		1.936515942	1.713501809
9	CNN-subtrees		1.9763959646224976	1.7082058191299438
9	real-subtrees	0.035152625079796	2.09651107868451	1.9531236378509096
9	real	0.035152625079796	2.09651107868451	1.9531236378509096
9	CNN		1.9811047	1.7671884925014298
9	FFNN		1.9811047	1.7671884925014298
9	FFNN-subtrees		2.0642235279083248	1.8170709609985352
10	CNN-subtrees		4.0808982849121085	7.209778308868407
10	real	0.085674551937519	4.6544535501597695	8.091749674660731
10	BEAST2		4.267912766	7.522965232000001
10	FFNN-subtrees		4.113050937652588	7.210860252380371
10	real-subtrees	0.085674551937519	4.6544535501597695	8.091749674660731
10	CNN		4.420039	7.7713977425881895
10	FFNN		4.420039	7.7713977425881895
11	BEAST2		2.8225107639999996	5.232048471000001
11	CNN		2.9106400000000003	5.35214470842256
11	CNN-subtrees		2.816417694091797	5.190101146697998
11	FFNN		2.9106400000000003	5.35214470842256
11	real	0.330380394322641	2.71538349821257	5.2481839332354285
11	real-subtrees	0.330380394322641	2.71538349821257	5.2481839332354285
11	FFNN-subtrees		2.825773000717163	5.18412971496582
12	CNN		2.7034862	4.11269476986642
12	FFNN		2.7034862	4.11269476986642
12	real	0.283835707112732	3.00801185284366	4.2286713059046
12	real-subtrees	0.283835707112732	3.00801185284366	4.2286713059046
12	BEAST2		2.638930507	4.0055927030000005
12	CNN-subtrees		2.4697210788726807	3.736396789550781
12	FFNN-subtrees		2.6132261753082275	3.8533010482788086
